ID,YEAR,TITLE,LANGUAGE,AUTHORS
1,1971-12-01,The Declaration of Independence of the United States of America,en,"Jefferson, Thomas, 1743-1826"
2,1972-12-01,"The United States Bill of Rights
The Ten Original Amendments to the Constitution of the United States",en,United States
3,1973-11-01,John F. Kennedy's Inaugural Address,en,"Kennedy, John F. (John Fitzgerald), 1917-1963"
4,1973-11-01,"Lincoln's Gettysburg Address
Given November 19, 1863 on the battlefield near Gettysburg, Pennsylvania, USA",en,"Lincoln, Abraham, 1809-1865"
5,1975-12-01,The United States Constitution,en,United States
6,1976-12-01,Give Me Liberty or Give Me Death,en,"Henry, Patrick, 1736-1799"
7,1977-12-01,The Mayflower Compact,en,
8,1978-12-01,Abraham Lincoln's Second Inaugural Address,en,"Lincoln, Abraham, 1809-1865"
9,1979-12-01,Abraham Lincoln's First Inaugural Address,en,"Lincoln, Abraham, 1809-1865"
10,1989-08-01,The King James Version of the Bible,en,
11,2008-06-27,Alice's Adventures in Wonderland,en,"Carroll, Lewis, 1832-1898"
12,2008-06-25,Through the Looking-Glass,en,"Carroll, Lewis, 1832-1898"
13,2008-06-25,The Hunting of the Snark: An Agony in Eight Fits,en,"Carroll, Lewis, 1832-1898"
14,1991-04-01,The 1990 CIA World Factbook,en,United States. Central Intelligence Agency
15,1991-05-01,"Moby-Dick; or, The Whale",en,"Melville, Herman, 1819-1891"
16,2008-06-25,Peter Pan,en,"Barrie, J. M. (James Matthew), 1860-1937"
17,2008-06-25,"The Book of Mormon
An Account Written by the Hand of Mormon, Upon Plates Taken from the Plates of Nephi",en,"Church of Jesus Christ of Latter-day Saints; Smith, Joseph, Jr., 1805-1844"
18,1991-08-01,The Federalist Papers,en,"Hamilton, Alexander, 1757-1804; Jay, John, 1745-1829; Madison, James, 1751-1836"
19,2004-06-01,The Song of Hiawatha,en,"Longfellow, Henry Wadsworth, 1807-1882; Morris, Woodrow W. [Editor]"
20,1991-10-01,Paradise Lost,en,"Milton, John, 1608-1674"
21,2008-06-25,"Aesop's Fables
Translated by George Fyler Townsend",en,"Aesop, 620? BCE-564? BCE; Townsend, George Fyler, 1814-1900 [Translator]"
22,1991-12-01,Roget's Thesaurus,en,"Roget, Peter Mark, 1779-1869"
23,2006-01-12,"Narrative of the Life of Frederick Douglass, an American Slave",en,"Douglass, Frederick, 1818-1895"
24,2008-06-27,O Pioneers!,en,"Cather, Willa, 1873-1947"
25,1992-02-01,The 1991 CIA World Factbook,en,United States. Central Intelligence Agency
26,1992-02-01,Paradise Lost,en,"Milton, John, 1608-1674"
27,1992-03-01,Far from the Madding Crowd,en,"Hardy, Thomas, 1840-1928"
28,1992-03-01,"The Fables of Aesop
Selected, Told Anew, and Their History Traced",en,"Aesop, 620? BCE-564? BCE; Jacobs, Joseph, 1854-1916 [Editor]"
29,1992-04-01,The 1990 United States Census,en,United States. Bureau of the Census
